annee,fonction,candidat,ets,labo
2006,EI,Souha Tahrani,Université de Nantes,CERMA
2008,EX,Angèle Tijou,Université d'Angers,LISA/ISTIA
2008,EX,Stéphanie Gerbaud,INSA Rennes,IRISA
2008,EX,François de Sorbier,Université de Marne-la-Vallée,IGM
2008,EX,Yuko Uematsu,Keio University - Japon,HVRL
2009,EI,Jihen Jallouli,Université de Nantes,CERMA
2009,R,Fabrice Dècle,Université Bordeaux I,LaBRI
2009,EI,Laure Leroy,Ecole des mines de Paris,Centre de Robotique
2009,EX,Amine Chellali,Ecole des mines de Nantes,IRCCyN
2010,R,Andriamasinoroqui Rahajaniaina,IRIT,Université Toulouse I
2010,EI,Hideaki Uchiyama,Keio University - Japon,HVRL
2010,R,Benjamin Astre,Université d'Auvergne,?
2010,R,Pierre Boudoin,Université d'Evry,IBISC
2010,EI,Nicolas Bioret,Ecole Centrale de Nantes,CERMA
2010,R,Julien Dehors,Université d'Auvergne,?
2010,R,Xue Cao,ENSAM,LAMPA P\&I
2011,R,Sehat Ullah,Université d'Evry,IBISC
2011,EI,Chamseddine Zaki,Ecole Centrale de Nantes,CERMA
2011,EX,Quentin Avril,INSA Rennes,IRISA
2011,EXP,Robin Skowronksi,Université Bordeaux I,LaBRI
2011,R,Franck Hernoux,ENSAM,LAMPA P\&I
2011,R,Olivier Hugues,Université Bordeaux I,ESTIA Recherche
2012,R,Nan Wang,Mines Paritech,Centre de Robotique
2012,R,Tanh-Hai Trinh,ENI Brest,CIRV
2012,RP,Youssef Attia,Univ. Saint-Etienne,ISTHME
2012,EX,Léo Terziman,Univ Rennes 1,IRISA
2012,EI,Shuang He,Ecole Centrale de Nantes,CERMA
2012,EI,Ruijun Liu,Ecole Centrale de Nantes,CERMA
2013,R,Mehdi Chouiten,Université d'Evry,IBISC
2013,EXP,Bilel Soussi,ESGT,L2G
2013,R,Wassim Suleiman,Univ. Saint-Etienne,ISTHME
2013,EI,Rachid Hamaina,Ecole Centrale de Nantes,CERMA
2013,R,Jinglin Zhang,INSA Rennes,IETR
2014,R,Nehla Ghouaiel,Université Toulouse I,ESTIA Recherche
2014,R,Adrien Girard,Univ. Paris sud,LIMSI
2014,R,Mohammad Ali Mirzaei,ENSAM,Le2i
2014,R,Jérôme Ardouin,INSA Rennes,IRISA
2014,EI,Fan Zhang,Ecole Centrale de Nantes,CERMA
2015,EI,Toinon Vigier,Ecole Centrale de Nantes,CRENAU
2015,EX,Jonathan Mercier,INSA Rennes,IRISA
2015,EI,Siju Wu,IBISC - Université d'Evry,IBISC
2015,EXP,Filippo Mazza,Ecole Centrale de Nantes,IRCCyN
2016,EX,Rémy Eynard,ENSAM,LAMPA P&I
2016,R,Minh Tien Phan,UTC,Heudyasic
2016,R,Morgan Le Chénéchal,INSA Rennes,IRISA
2016,EXP,Jérémy Lacoche,INSA Rennes,IRISA
2016,R,Alia Rukubayihunga,Université d'Evry,IBISC
2017,R,Judicaël Menant,INSA Rennes, IETR
2017,EX,Abdelkader Bellarbi,Université d'Evry,IBISC
2018,EXP,Guillaume Cortes,INSA Rennes,IRISA
2018,R,Adrien Arnaud,Univ. Paris Saclay,LIMSI
2019,R,Nicolas Muller,Univ. Toulouse,IRIT
2019,EXP,Duong Nam-Duong,Univ. Rennes I,IRT b-com
2019,R,Jason Rambach,Univ. Kaiserslautern (DE),
2019,EXP,Thibaud Thoullier,Université Rennes I,IFSTTAR
2019,R,Alice Guerville-Ballé,Université de Pau, ITEM
2019,R,Muhammad Rahes,University of Malakand (Pakistan),
2020,R,Jérôme Nicolle,Université de Caen-Normandie,GREYC
2020,EXP,Lucile Riaboff,Université du Maine, LAUM
